,domain,revenue,is_confidential,name,seller_id,seller_type,_merge
1931,planetemercato.fr,,0,PRINT4EVER,f322196f921ef6c7328c242d70932bb4,PUBLISHER,right_only
1932,sibboventures.com,,0,Sibbo Ventures,f3259a6ad006a1ae9907ae7af53ea14a,PUBLISHER,right_only
1933,chainreaction.ae,,0,Chain Reaction,f349893feade9be968dd4976098757eb,PUBLISHER,right_only
1934,parents.fr,,0,Uni Médias,f3556f06ac57fc79f3432bfccb1ee9f8,INTERMEDIARY,right_only
1935,dailycaller.com,,0,The Daily Caller,f36c87baa2d11040924aa250b7e0c2a1,PUBLISHER,right_only
1936,chivemediagroup.com,,0,Chive Media Group,f3857bbe0464e16015e02d50b5072dd1,PUBLISHER,right_only
1937,themoviewaffler.com,,0,The Movie Waffler,f39bccdb566ffedd0e86d88ba57194d3,PUBLISHER,right_only
1938,delo.si,,0,Delo,f3b4aab29412929291dc53d7c15c47df,PUBLISHER,right_only
1939,public.adyoulike.com.s3.amazonaws.com,,0,TEST Programmatic,f3be6945b7142d16b0205067bca225bc,PUBLISHER,right_only
1940,,,0,Exports,f3d5062b6cc5dccb79492e71612a204f,PUBLISHER,right_only
1941,handpicked.org,,0,Likely,f415faeb9b043f4ccc194ca437560c08,PUBLISHER,right_only
1942,cnbc.com,228.05250000000004,0,CNBC,f44f73c78cc704edae486ec29fc975c8,PUBLISHER,both
1943,indulgy.com,,0,Indulgy Inc.,f45304ed039f6f9376ab173987583a64,PUBLISHER,right_only
1944,nicematin.com,,0,Groupe Nice Matin,f4707fad88923a2e52314536d7ba7582,PUBLISHER,right_only
1945,mymakemoneyfromhome.com,,0,Online Business Publication,f49478dd2446226eed6a99a3bfc2ab3b,PUBLISHER,right_only
1946,spare-desks.com,,0,SpareDesks,f4bced3ca8eeedf6fa8198aa113c3915,PUBLISHER,right_only
1947,financelinks.equitad.com,,0,F4M,f4c7a74d92376b33354eab37c95aa9fa,PUBLISHER,right_only
1948,taringa.net,,0,Taringa!,f4ef557589233aab1da8b99efa1f8366,PUBLISHER,right_only
1949,adyoulike.com,,0,Adyoulike Staff,f504a41df13883718dfa7c6e19020242,PUBLISHER,right_only
1950,contentexchange.me,,0,Content Exchange,f51f7ccdcb408c0046f1cef074c1830b,PUBLISHER,right_only
1951,futura-sciences.com,,0,Futura-sciences,f53fead53e7fe62ba28c3406b4257c94,PUBLISHER,right_only
1952,hispanicexchange.com,,0,Hispanic Exchange,f54539bb0e5bc0f7e448c9f92e658110,INTERMEDIARY,right_only
1953,nadlanu.com,,0,RS - Color Media Communications,f5d55712fe2d60a8ab8fd4c827b2333b,PUBLISHER,right_only
1954,nevtron.si,,0,"Nevtron & Company, d.o.o.",f611771b2f0a998caedef6dfcbce0abf,PUBLISHER,right_only
1955,greenwisebusiness.co.uk,,0,Greenwisebusiness,f616d4ad7509133e62e887d39935193f,PUBLISHER,right_only
1956,,,1,,f62e1e7e03d5c496f12d3b526870825e,PUBLISHER,right_only
1957,tengokmovie.com,,0,tengok movie,f62e63e9c033d186f4b95808ad1b472b,PUBLISHER,right_only
1958,adyoulike.com,,0,Adyoulike,f64604f1374a0a428f2c367e64e85bce,PUBLISHER,right_only
1959,healthylives.cf,,0,healthy lives,f64a5ce895ce2a4d8abdcab10ba1f3bd,PUBLISHER,right_only
1960,nintendon.it,,0,NintendOn,f652c17ed1ee7fd64c77f42191bf1707,PUBLISHER,right_only
1961,mi-sharpei.com,,0,Pablo Salvador Poveda,f671d93f284f91c0d7cf8b81848f61dc,PUBLISHER,right_only
1962,ohchouette.com,,0,Ohchouette.com,f68f455aa93b8717ae3b849c83af7a0f,PUBLISHER,right_only
1963,netzwelt.de,,0,netzwelt GmbH,f6929b8cedb5d4489e61f10c9b05a2ac,PUBLISHER,right_only
1964,tourse.com,,0,Man on The Moon Projects S.L.,f6a9f07b03b801ad472d96155ee24fc1,PUBLISHER,right_only
1965,vppgamingnetwork.com,,0,VPP Gaming Network,f6db31e3a50d9b64428dfb033648d200,PUBLISHER,right_only
1966,gutefrage.net,,0,highfivve GmbH,f6e96fd034c853acae42bdbf045e4e12,PUBLISHER,right_only
1967,itcarab.net,,0,ITC arab,f6f740541eaafb9a02b4b3131ed92e3a,PUBLISHER,right_only
1968,buzzissime.com,,0,AJL Media,f6fc7615fc3d412dd7f1c04c19d03794,PUBLISHER,right_only
1969,aida360.com,,0,Aida360,f7103956e40f3ced1c65f3fc16c326f7,PUBLISHER,right_only
1970,dodo-loto.com,,0,Dodo-Loto.com,f71a5300757440023bf51149299c236a,PUBLISHER,right_only
1971,hamarinet.com,,0,humviral,f75bd54fc7d4072db47b11203a7944d1,PUBLISHER,right_only
1972,tfl.gov.uk,,0,TFL,f7672621e066e8e8126485965df0650f,PUBLISHER,right_only
1973,royalmailchat.co.uk,,0,ROYALMAILCHAT,f77000bfeebea82c12a1da60e9582e01,PUBLISHER,right_only
1974,ontecnia.com,,0,Ontecnia,f78655e16930971fe8759a3dad029030,PUBLISHER,right_only
1975,almanaquedospais.com.br,,0,almanaquedospais.com.br,f79749e2934bbffd4a7174af435624a6,PUBLISHER,right_only
1976,adpushup.com,,0,AdPushup,f7c90dd0cd528594782782299d4c8a6a,PUBLISHER,right_only
1977,horsespot.de,,0,Define Media GmbH,f7cccb0732b14235157523dc9d6106fa,PUBLISHER,right_only
1978,viamichelin.com,,0,Michelin Travel Partner,f7ced8c68fa9ddfd01c36b1c4a28216d,PUBLISHER,right_only
1979,eremnews.com,,0,Marwan group,f7fc3bf68141d81a00658eb7881f9f3a,PUBLISHER,right_only
1980,oficinaempleo.com,,0,ANTEVENIO ESP,f812469d724ab34a00cc4e65ff573d7d,PUBLISHER,right_only
1981,timeout.com,,0,Timeout.es,f825b94b1f146d409e058cc2e4361a78,PUBLISHER,right_only
1982,grooglee.blogspot.com,,0,fajariah ningsih,f828f3257965e0e0e89f9c7737f1c97c,PUBLISHER,right_only
1983,pixelpurehat.com,,0,Pixelpurehat - Trading desk (exports),f831f2c5293d240cce297c3712bb0484,PUBLISHER,right_only
1984,cupertinotimes.com,,0,"CTSD Web Publishing, LLC.",f844749c4c3858d979aa71ed23b678f1,PUBLISHER,right_only
1985,kidnames.org,,0,kidnames.org,f85662a864e2c4794ebb405cad7ea8d7,PUBLISHER,right_only
1986,ilcercabadanti.it,,0,IlCercaBadanti,f87f692f6d728a6ed37e2cfc4fa6645c,PUBLISHER,right_only
1987,thefourohfive.com,,0,Advant Technology,f88f9bd2b159179d1bf37d578ec10f90,PUBLISHER,right_only
1988,modernists.fr,,0,Be Modernists,f92a08318c4dd1bacc8b91e611262bc6,PUBLISHER,right_only
1989,mumsnet.com,,0,Mumsnet,f93f6cc98c8f0eb5208b1b85f57d5657,PUBLISHER,right_only
1990,themoneytizer.com,,0,The Moneytizer ES,f963243b8472aa9474d37bb6173c4f18,PUBLISHER,right_only
1991,netdoktor.de,,0,NetDoktor.de GmbH,f96fc7227551c240138fed02020641de,PUBLISHER,right_only
1992,webcima.com,,0,dichar,f995d82affaef1300e633c5f50a03524,PUBLISHER,right_only
1993,quindionoticias.com,,0,quindionoticias.com,f99ea2b63756169d970eef4feeef3ba6,PUBLISHER,right_only
1994,r-target.com,,0,R-Target Newsletter,f9a63987849f826d89aeacef636658d9,PUBLISHER,right_only
1995,Hallofseries.com,,0,Giovanni Patanisi,f9c1c57200b80e0caa3ec01082fd3b87,PUBLISHER,right_only
1996,ad2one.com,,0,Davinci11,f9e2b81f76f154c28a904f31b227cb5d,PUBLISHER,right_only
1997,cafemedia.com,,0,Cafe Media,f9ec3087311bdab44ab9c1f8442d0f0a,INTERMEDIARY,right_only
1998,flashgamefactory.com,,0,Saundra Cooper,fa38acc30b4e22b9dbc789112dac669a,PUBLISHER,right_only
1999,takingfive.com,,0,TakingFive,fa4fa5524017640096e1205bbef44c74,PUBLISHER,right_only
2000,pubocean.com,,0,Pub Ocean,fa74989543a36b1ae9910e73fbd4a0e9,PUBLISHER,right_only
2001,jobafrica.org,,0,Media Digital Network,fa75b5885b1f2cb373f16a48c771be31,PUBLISHER,right_only
2002,football.co.uk,,0,Digital Sports Group,fa822992409183e7ebe67f62ae7e1b83,PUBLISHER,right_only
2003,aolplatforms.com,,0,One by AOL,fac03e440281d88eced67fad8328bdd2,PUBLISHER,right_only
2004,football365.fr,,0,Media 365,face12359c8ec2311c8d27213eb3839c,PUBLISHER,right_only
2005,powerspace.com,,0,Powerspace,fadce6b8e374162d4c35195e2eb5fec7,PUBLISHER,right_only
2006,es.wallapop.com,,0,Wallapop,fadd639211b328bbcac1de2f1066214e,PUBLISHER,right_only
2007,vat-number-validation.eu,,0,Damian Pokladnik,fb00d55de17509933dc8e2b54dcdf87e,PUBLISHER,right_only
2008,voxcity.co,,0,Voxcity.co,fb0a7dba066da913bd650bffcd518a96,PUBLISHER,right_only
